"scaled_tacr","av_propStock","impyear"
-28,1,"1982"
-27,1,"1982"
-26,1,"1982"
-25,1,"1982"
-24,1,"1982"
-23,1,"1982"
-22,1,"1982"
-21,1,"1982"
-20,1,"1982"
-19,0.44219440353461,"1982"
-18,0.448091820460242,"1982"
-17,0.495752895752896,"1982"
-16,0.606390859852164,"1982"
-15,0.578167087542088,"1982"
-14,0.638213347570008,"1982"
-13,0.495248960903698,"1982"
-12,0.509833667273247,"1982"
-11,0.487067802353598,"1982"
-10,0.421840669715906,"1982"
-9,0.507274571351602,"1982"
-8,0.427763511577659,"1982"
-7,0.336386138356968,"1982"
-6,0.391024673729722,"1982"
-5,0.385932493665487,"1982"
-4,0.396886887597749,"1982"
-3,0.293133456479533,"1982"
-2,0.419134681214949,"1982"
-1,0.296291225736715,"1982"
0,0.296005388181993,"1982"
1,0.204596722797387,"1982"
2,0.241224341656247,"1982"
3,0.224839225784493,"1982"
4,0.227003591420984,"1982"
5,0.31012722347211,"1982"
6,0.304104024224094,"1982"
7,0.272331410520829,"1982"
8,0.263505476967069,"1982"
9,0.158197239048801,"1982"
10,0.151402708941884,"1982"
11,0.151996872610443,"1982"
12,0.173131222161186,"1982"
13,0.161705246245545,"1982"
14,0.169736607969645,"1982"
15,0.187038819755957,"1982"
16,0.17868837748481,"1982"
17,0.183122822819716,"1982"
18,0.181699521692458,"1982"
19,0.179439030185093,"1982"
20,0.162366113702033,"1982"
21,0.167697832292551,"1982"
22,0.15406400224306,"1982"
23,0.134120882746562,"1982"
24,0.14708455507932,"1982"
25,0.13038879872722,"1982"
26,0.144955272738632,"1982"
27,0.125562253460612,"1982"
28,0.11979274385735,"1982"
29,0.124185157764237,"1982"
30,0.142269617057933,"1982"
31,0.149497246556925,"1982"
32,0.13558782688418,"1982"
33,0.0841568201904192,"1982"
34,0.0678528373388593,"1982"
35,0.042100040793207,"1982"
36,0.0547964172215149,"1982"
37,0.0597863552722974,"1982"
-43,1,"1997"
-42,1,"1997"
-41,1,"1997"
-40,1,"1997"
-39,1,"1997"
-38,1,"1997"
-37,1,"1997"
-36,1,"1997"
-35,1,"1997"
-34,0.44219440353461,"1997"
-33,0.448091820460242,"1997"
-32,0.495752895752896,"1997"
-31,0.606390859852164,"1997"
-30,0.578167087542088,"1997"
-29,0.638213347570008,"1997"
-28,0.495248960903698,"1997"
-27,0.509833667273247,"1997"
-26,0.487067802353598,"1997"
-25,0.421840669715906,"1997"
-24,0.507274571351602,"1997"
-23,0.427763511577659,"1997"
-22,0.336386138356968,"1997"
-21,0.391024673729722,"1997"
-20,0.385932493665487,"1997"
-19,0.396886887597749,"1997"
-18,0.293133456479533,"1997"
-17,0.419134681214949,"1997"
-16,0.296291225736715,"1997"
-15,0.296005388181993,"1997"
-14,0.204596722797387,"1997"
-13,0.241224341656247,"1997"
-12,0.224839225784493,"1997"
-11,0.227003591420984,"1997"
-10,0.31012722347211,"1997"
-9,0.304104024224094,"1997"
-8,0.272331410520829,"1997"
-7,0.263505476967069,"1997"
-6,0.158197239048801,"1997"
-5,0.151402708941884,"1997"
-4,0.151996872610443,"1997"
-3,0.173131222161186,"1997"
-2,0.161705246245545,"1997"
-1,0.169736607969645,"1997"
0,0.187038819755957,"1997"
1,0.17868837748481,"1997"
2,0.183122822819716,"1997"
3,0.181699521692458,"1997"
4,0.179439030185093,"1997"
5,0.162366113702033,"1997"
6,0.167697832292551,"1997"
7,0.15406400224306,"1997"
8,0.134120882746562,"1997"
9,0.14708455507932,"1997"
10,0.13038879872722,"1997"
11,0.144955272738632,"1997"
12,0.125562253460612,"1997"
13,0.11979274385735,"1997"
14,0.124185157764237,"1997"
15,0.142269617057933,"1997"
16,0.149497246556925,"1997"
17,0.13558782688418,"1997"
18,0.0841568201904192,"1997"
19,0.0678528373388593,"1997"
20,0.042100040793207,"1997"
21,0.0547964172215149,"1997"
22,0.0597863552722974,"1997"
-44,1,"1998"
-43,1,"1998"
-42,1,"1998"
-41,1,"1998"
-40,1,"1998"
-39,1,"1998"
-38,1,"1998"
-37,1,"1998"
-36,1,"1998"
-35,0.44219440353461,"1998"
-34,0.448091820460242,"1998"
-33,0.495752895752896,"1998"
-32,0.606390859852164,"1998"
-31,0.578167087542088,"1998"
-30,0.638213347570008,"1998"
-29,0.495248960903698,"1998"
-28,0.509833667273247,"1998"
-27,0.487067802353598,"1998"
-26,0.421840669715906,"1998"
-25,0.507274571351602,"1998"
-24,0.427763511577659,"1998"
-23,0.336386138356968,"1998"
-22,0.391024673729722,"1998"
-21,0.385932493665487,"1998"
-20,0.396886887597749,"1998"
-19,0.293133456479533,"1998"
-18,0.419134681214949,"1998"
-17,0.296291225736715,"1998"
-16,0.296005388181993,"1998"
-15,0.204596722797387,"1998"
-14,0.241224341656247,"1998"
-13,0.224839225784493,"1998"
-12,0.227003591420984,"1998"
-11,0.31012722347211,"1998"
-10,0.304104024224094,"1998"
-9,0.272331410520829,"1998"
-8,0.263505476967069,"1998"
-7,0.158197239048801,"1998"
-6,0.151402708941884,"1998"
-5,0.151996872610443,"1998"
-4,0.173131222161186,"1998"
-3,0.161705246245545,"1998"
-2,0.169736607969645,"1998"
-1,0.187038819755957,"1998"
0,0.17868837748481,"1998"
1,0.183122822819716,"1998"
2,0.181699521692458,"1998"
3,0.179439030185093,"1998"
4,0.162366113702033,"1998"
5,0.167697832292551,"1998"
6,0.15406400224306,"1998"
7,0.134120882746562,"1998"
8,0.14708455507932,"1998"
9,0.13038879872722,"1998"
10,0.144955272738632,"1998"
11,0.125562253460612,"1998"
12,0.11979274385735,"1998"
13,0.124185157764237,"1998"
14,0.142269617057933,"1998"
15,0.149497246556925,"1998"
16,0.13558782688418,"1998"
17,0.0841568201904192,"1998"
18,0.0678528373388593,"1998"
19,0.042100040793207,"1998"
20,0.0547964172215149,"1998"
21,0.0597863552722974,"1998"
-45,1,"1999"
-44,1,"1999"
-43,1,"1999"
-42,1,"1999"
-41,1,"1999"
-40,1,"1999"
-39,1,"1999"
-38,1,"1999"
-37,1,"1999"
-36,0.44219440353461,"1999"
-35,0.448091820460242,"1999"
-34,0.495752895752896,"1999"
-33,0.606390859852164,"1999"
-32,0.578167087542088,"1999"
-31,0.638213347570008,"1999"
-30,0.495248960903698,"1999"
-29,0.509833667273247,"1999"
-28,0.487067802353598,"1999"
-27,0.421840669715906,"1999"
-26,0.507274571351602,"1999"
-25,0.427763511577659,"1999"
-24,0.336386138356968,"1999"
-23,0.391024673729722,"1999"
-22,0.385932493665487,"1999"
-21,0.396886887597749,"1999"
-20,0.293133456479533,"1999"
-19,0.419134681214949,"1999"
-18,0.296291225736715,"1999"
-17,0.296005388181993,"1999"
-16,0.204596722797387,"1999"
-15,0.241224341656247,"1999"
-14,0.224839225784493,"1999"
-13,0.227003591420984,"1999"
-12,0.31012722347211,"1999"
-11,0.304104024224094,"1999"
-10,0.272331410520829,"1999"
-9,0.263505476967069,"1999"
-8,0.158197239048801,"1999"
-7,0.151402708941884,"1999"
-6,0.151996872610443,"1999"
-5,0.173131222161186,"1999"
-4,0.161705246245545,"1999"
-3,0.169736607969645,"1999"
-2,0.187038819755957,"1999"
-1,0.17868837748481,"1999"
0,0.183122822819716,"1999"
1,0.181699521692458,"1999"
2,0.179439030185093,"1999"
3,0.162366113702033,"1999"
4,0.167697832292551,"1999"
5,0.15406400224306,"1999"
6,0.134120882746562,"1999"
7,0.14708455507932,"1999"
8,0.13038879872722,"1999"
9,0.144955272738632,"1999"
10,0.125562253460612,"1999"
11,0.11979274385735,"1999"
12,0.124185157764237,"1999"
13,0.142269617057933,"1999"
14,0.149497246556925,"1999"
15,0.13558782688418,"1999"
16,0.0841568201904192,"1999"
17,0.0678528373388593,"1999"
18,0.042100040793207,"1999"
19,0.0547964172215149,"1999"
20,0.0597863552722974,"1999"
-47,1,"2001"
-46,1,"2001"
-45,1,"2001"
-44,1,"2001"
-43,1,"2001"
-42,1,"2001"
-41,1,"2001"
-40,1,"2001"
-39,1,"2001"
-38,0.44219440353461,"2001"
-37,0.448091820460242,"2001"
-36,0.495752895752896,"2001"
-35,0.606390859852164,"2001"
-34,0.578167087542088,"2001"
-33,0.638213347570008,"2001"
-32,0.495248960903698,"2001"
-31,0.509833667273247,"2001"
-30,0.487067802353598,"2001"
-29,0.421840669715906,"2001"
-28,0.507274571351602,"2001"
-27,0.427763511577659,"2001"
-26,0.336386138356968,"2001"
-25,0.391024673729722,"2001"
-24,0.385932493665487,"2001"
-23,0.396886887597749,"2001"
-22,0.293133456479533,"2001"
-21,0.419134681214949,"2001"
-20,0.296291225736715,"2001"
-19,0.296005388181993,"2001"
-18,0.204596722797387,"2001"
-17,0.241224341656247,"2001"
-16,0.224839225784493,"2001"
-15,0.227003591420984,"2001"
-14,0.31012722347211,"2001"
-13,0.304104024224094,"2001"
-12,0.272331410520829,"2001"
-11,0.263505476967069,"2001"
-10,0.158197239048801,"2001"
-9,0.151402708941884,"2001"
-8,0.151996872610443,"2001"
-7,0.173131222161186,"2001"
-6,0.161705246245545,"2001"
-5,0.169736607969645,"2001"
-4,0.187038819755957,"2001"
-3,0.17868837748481,"2001"
-2,0.183122822819716,"2001"
-1,0.181699521692458,"2001"
0,0.179439030185093,"2001"
1,0.162366113702033,"2001"
2,0.167697832292551,"2001"
3,0.15406400224306,"2001"
4,0.134120882746562,"2001"
5,0.14708455507932,"2001"
6,0.13038879872722,"2001"
7,0.144955272738632,"2001"
8,0.125562253460612,"2001"
9,0.11979274385735,"2001"
10,0.124185157764237,"2001"
11,0.142269617057933,"2001"
12,0.149497246556925,"2001"
13,0.13558782688418,"2001"
14,0.0841568201904192,"2001"
15,0.0678528373388593,"2001"
16,0.042100040793207,"2001"
17,0.0547964172215149,"2001"
18,0.0597863552722974,"2001"
-51,1,"2005"
-50,1,"2005"
-49,1,"2005"
-48,1,"2005"
-47,1,"2005"
-46,1,"2005"
-45,1,"2005"
-44,1,"2005"
-43,1,"2005"
-42,0.44219440353461,"2005"
-41,0.448091820460242,"2005"
-40,0.495752895752896,"2005"
-39,0.606390859852164,"2005"
-38,0.578167087542088,"2005"
-37,0.638213347570008,"2005"
-36,0.495248960903698,"2005"
-35,0.509833667273247,"2005"
-34,0.487067802353598,"2005"
-33,0.421840669715906,"2005"
-32,0.507274571351602,"2005"
-31,0.427763511577659,"2005"
-30,0.336386138356968,"2005"
-29,0.391024673729722,"2005"
-28,0.385932493665487,"2005"
-27,0.396886887597749,"2005"
-26,0.293133456479533,"2005"
-25,0.419134681214949,"2005"
-24,0.296291225736715,"2005"
-23,0.296005388181993,"2005"
-22,0.204596722797387,"2005"
-21,0.241224341656247,"2005"
-20,0.224839225784493,"2005"
-19,0.227003591420984,"2005"
-18,0.31012722347211,"2005"
-17,0.304104024224094,"2005"
-16,0.272331410520829,"2005"
-15,0.263505476967069,"2005"
-14,0.158197239048801,"2005"
-13,0.151402708941884,"2005"
-12,0.151996872610443,"2005"
-11,0.173131222161186,"2005"
-10,0.161705246245545,"2005"
-9,0.169736607969645,"2005"
-8,0.187038819755957,"2005"
-7,0.17868837748481,"2005"
-6,0.183122822819716,"2005"
-5,0.181699521692458,"2005"
-4,0.179439030185093,"2005"
-3,0.162366113702033,"2005"
-2,0.167697832292551,"2005"
-1,0.15406400224306,"2005"
0,0.134120882746562,"2005"
1,0.14708455507932,"2005"
2,0.13038879872722,"2005"
3,0.144955272738632,"2005"
4,0.125562253460612,"2005"
5,0.11979274385735,"2005"
6,0.124185157764237,"2005"
7,0.142269617057933,"2005"
8,0.149497246556925,"2005"
